 Scan No., Date, Room Id, In/Out, Room Type, MAC, Signal Strength
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:48,-76
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e0,-77
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e2,-77
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:48,-78
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:49,-78
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:4c,-78
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:4a,-78
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e2,-78
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e1,-79
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e8,-80
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e1,-80
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:44,-80
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e4,-81
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:41,-81
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e9,-82
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:40,-82
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:44,-82
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e0,-83
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:42,-83
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:41,-84
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:7a:61,-89
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:7a:64,-89
