LocationId, ScanNo, Date, Time, RoomId, InOut, RoomType, MAC, SignalStrength, Connected
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a0,-64, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:52,-64, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-65, Yes
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-65, Yes
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:50,-65, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:51,-65, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:54,-65, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a9,-67, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:50,-68, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e8,-72, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e9,-73, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e4,-75, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:48,-76, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e0,-77, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e2,-77, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:48,-78, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:49,-78, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:4c,-78, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:4a,-78, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e2,-78, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e1,-79, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e8,-80, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e1,-80, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:44,-80, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e4,-81, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:41,-81, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e9,-82, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:40,-82, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:44,-82, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e0,-83, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:42,-83, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:41,-84, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:7a:61,-89, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:7a:64,-89, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:7a:60,-90, No
1,3, 2014-Sep-19, 17:12:16, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:7a:62,-92, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a4,-61, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a1,-62, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a2,-62, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a0,-63, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e8,-64, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:aa,-64, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-65, Yes
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e9,-65, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:ec,-65, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e8,-65, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:ea,-65, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:ac,-66, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:50,-67, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:51,-67, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a9,-70, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-73, Yes
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:49,-75, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:48,-76, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e1,-76, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:48,-76, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e0,-77, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e2,-77, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:4c,-77, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e0,-78, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:4a,-78, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e4,-79, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e2,-79, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e0,-80, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e4,-81, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:ea,-81, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e1,-82, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:41,-82, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:42,-82, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e8,-82, No
